,Time (s),x=0.00m,x=0.02m,x=0.04m,x=0.06m,x=0.08m,x=0.10m,x=0.12m,x=0.14m,x=0.16m,x=0.18m,x=0.20m,x=0.22m,x=0.24m,x=0.26m,x=0.28m,x=0.30m,x=0.32m,x=0.34m,x=0.36m,x=0.38m,x=0.40m,x=0.42m,x=0.44m,x=0.46m,x=0.48m,x=0.50m,x=0.52m,x=0.54m,x=0.56m,x=0.58m,x=0.60m,x=0.62m,x=0.64m,x=0.66m,x=0.68m,x=0.70m,x=0.72m,x=0.74m,x=0.76m,x=0.78m,x=0.80m,x=0.82m,x=0.84m,x=0.86m,x=0.88m,x=0.90m,x=0.92m,x=0.94m,x=0.96m,x=0.98m,x=1.00m
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.05,0.0,0.03316780770304507,0.04529887050608887,0.04890099893305155,0.04978237361529188,0.04996304780157979,0.04999455897127617,0.049999298274824105,0.049999920042489904,0.049999991890483104,0.0499999992631941,0.049999999939699905,0.04999999999553382,0.049999999999699424,0.04999999999998157,0.04999999999999899,0.049999999999999975,0.05000000000000004,0.05000000000000004,0.05000000000000004,0.05000000000000004,0.05000000000000004,0.05000000000000004,0.05000000000000004,0.05000000000000004,0.05000000000000004,0.05000000000000004,0.05000000000000004,0.05000000000000004,0.05000000000000004,0.05000000000000004,0.05000000000000004,0.05000000000000004,0.05000000000000004,0.049999999999999975,0.04999999999999899,0.04999999999998157,0.049999999999699424,0.04999999999553382,0.049999999939699905,0.0499999992631941,0.049999991890483104,0.049999920042489904,0.049999298274824105,0.04999455897127617,0.04996304780157979,0.04978237361529188,0.04890099893305155,0.04529887050608887,0.03316780770304507,0.0
2,0.1,0.0,0.05325551982352194,0.08036568076791178,0.09260365542911728,0.09749931443520474,0.0992392194417638,0.09979097185844077,0.0999479150561213,0.09998817854637022,0.09999754560158479,0.0999995319210091,0.09999991768673516,0.09999998660462764,0.09999999797599651,0.0999999997151869,0.0999999999625707,0.09999999999539454,0.0999999999994682,0.09999999999994229,0.09999999999999416,0.0999999999999995,0.10000000000000002,0.10000000000000007,0.10000000000000007,0.10000000000000007,0.10000000000000007,0.10000000000000007,0.10000000000000007,0.10000000000000007,0.10000000000000002,0.0999999999999995,0.09999999999999416,0.09999999999994229,0.0999999999994682,0.09999999999539454,0.0999999999625707,0.0999999997151869,0.09999999797599651,0.09999998660462764,0.09999991768673516,0.0999995319210091,0.09999754560158479,0.09998817854637022,0.0999479150561213,0.09979097185844077,0.0992392194417638,0.09749931443520474,0.09260365542911728,0.08036568076791178,0.05325551982352194,0.0
3,0.15,0.0,0.06894249469612046,0.10931280563490214,0.1310831013478295,0.14186555579667645,0.146765835871252,0.14881032261081656,0.14959458017761945,0.14987177603271554,0.14996228366789835,0.14998965899272568,0.14999735104863884,0.14999936457310145,0.14999985693976825,0.14999996970428084,0.14999999395274108,0.14999999885998244,0.14999999979664527,0.14999999996561622,0.1499999999944802,0.14999999999915742,0.14999999999987762,0.14999999999998315,0.14999999999999786,0.14999999999999983,0.1500000000000001,0.14999999999999983,0.14999999999999786,0.14999999999998315,0.14999999999987762,0.14999999999915742,0.1499999999944802,0.14999999996561622,0.14999999979664527,0.14999999885998244,0.14999999395274108,0.14999996970428084,0.14999985693976825,0.14999936457310145,0.14999735104863884,0.14998965899272568,0.14996228366789835,0.14987177603271554,0.14959458017761945,0.14881032261081656,0.146765835871252,0.14186555579667645,0.1310831013478295,0.10931280563490214,0.06894249469612046,0.0
4,0.2,0.0,0.08225573202138929,0.13445766161927997,0.16559040321322777,0.18299258161300413,0.19209445359577298,0.19654563240826967,0.1985809779963603,0.19945169614821343,0.19980054890290638,0.1999316227910107,0.19997787943251974,0.19999323779146813,0.19999804380284175,0.19999946370444577,0.19999986045996887,0.19999996549171184,0.199999991877487,0.19999999817780986,0.19999999960987305,0.1999999999201864,0.19999999998437817,0.19999999999707133,0.19999999999947324,0.19999999999990678,0.19999999999996998,0.19999999999990678,0.19999999999947324,0.19999999999707133,0.19999999998437817,0.1999999999201864,0.19999999960987305,0.19999999817780986,0.199999991877487,0.19999996549171184,0.19999986045996887,0.19999946370444577,0.19999804380284175,0.19999323779146813,0.19997787943251974,0.1999316227910107,0.19980054890290638,0.19945169614821343,0.1985809779963603,0.19654563240826967,0.19209445359577296,0.1829925816130041,0.16559040321322774,0.13445766161927997,0.08225573202138929,0.0
5,0.25,0.0,0.09402681743577544,0.1569761554365708,0.19707560982975222,0.22132453416062112,0.23522159719855387,0.2427613086128181,0.24663156552699803,0.2485109915776179,0.24937460337338974,0.2497503153248871,0.24990518559502806,0.24996572859739974,0.24998819846302925,0.24999612474705368,0.24999878537368653,0.24999963624855315,0.24999989580918744,0.24999997142675348,0.24999999249011132,0.24999999810642773,0.2499999995415134,0.24999999989329003,0.24999999997606817,0.24999999999463499,0.24999999999785974,0.24999999999463499,0.24999999997606817,0.24999999989329003,0.2499999995415134,0.24999999810642773,0.24999999249011132,0.24999997142675348,0.24999989580918744,0.24999963624855315,0.24999878537368653,0.24999612474705368,0.24998819846302925,0.24996572859739974,0.24990518559502806,0.2497503153248871,0.24937460337338974,0.2485109915776179,0.24663156552699803,0.2427613086128181,0.23522159719855387,0.2213245341606211,0.1970756098297522,0.15697615543657079,0.09402681743577543,0.0
6,0.3,0.0,0.10469241471419427,0.1775459352381629,0.22618954738630204,0.25729168625378424,0.27630563820601584,0.28740696264718596,0.29359227863349047,0.29687960925408996,0.29854591801055763,0.29935155902235006,0.2997232086172323,0.29988686587101776,0.29995570035628777,0.29998337288234167,0.299994014262094,0.2999979317742484,0.2999993136137979,0.2999997810472658,0.2999999328153604,0.2999999801547586,0.2999999943526845,0.29999999845037506,0.29999999958848406,0.2999999998890189,0.2999999999482437,0.2999999998890189,0.29999999958848406,0.29999999845037506,0.2999999943526845,0.2999999801547586,0.2999999328153604,0.2999997810472658,0.2999993136137979,0.2999979317742484,0.299994014262094,0.29998337288234167,0.29995570035628777,0.29988686587101776,0.2997232086172323,0.29935155902235006,0.29854591801055763,0.29687960925408996,0.29359227863349047,0.28740696264718596,0.27630563820601584,0.25729168625378424,0.22618954738630204,0.1775459352381629,0.10469241471419427,0.0
7,0.35000000000000003,0.0,0.11451541224021641,0.19659709572712103,0.2533870883025523,0.2912500917065011,0.31554281683296487,0.3305251689689025,0.33940019490313,0.34444678573570464,0.3472004894290004,0.3486421595081396,0.34936635907305125,0.3497154770452763,0.34987703883485116,0.349948840065172,0.34997949927166144,0.3499920845244969,0.3499970537869689,0.3499989423133699,0.3499996335680353,0.3499998774199501,0.34999996038134656,0.34999998761639217,0.34999999623670375,0.34999999882084776,0.34999999938020365,0.34999999882084776,0.34999999623670375,0.34999998761639217,0.34999996038134656,0.3499998774199501,0.3499996335680353,0.3499989423133699,0.3499970537869689,0.3499920845244969,0.34997949927166144,0.349948840065172,0.34987703883485116,0.3497154770452763,0.34936635907305125,0.3486421595081396,0.3472004894290004,0.34444678573570464,0.33940019490313,0.3305251689689025,0.31554281683296487,0.2912500917065011,0.2533870883025523,0.19659709572712103,0.11451541224021641,0.0
8,0.4,0.0,0.12366859470648046,0.21442218206795752,0.2789973210006567,0.32348496813226457,0.35312330329434927,0.37219848519935805,0.3840489108303644,0.3911509651258735,0.39525519013490645,0.39754162235211726,0.3987693754188647,0.39940483750368394,0.39972189782294054,0.3998744279909176,0.3999451986034987,0.3999768784574669,0.399990565788227,0.39999627597363996,0.3999985773202293,0.3999994737749834,0.39999981145151337,0.39999993448324317,0.399999977758078,0.3999999921056926,0.39999999544197584,0.3999999921056926,0.399999977758078,0.39999993448324317,0.39999981145151337,0.3999994737749834,0.3999985773202293,0.39999627597363996,0.399990565788227,0.3999768784574669,0.3999451986034987,0.3998744279909176,0.39972189782294054,0.39940483750368394,0.3987693754188647,0.39754162235211726,0.39525519013490645,0.3911509651258735,0.3840489108303644,0.37219848519935805,0.35312330329434927,0.32348496813226457,0.2789973210006567,0.21442218206795752,0.12366859470648046,0.0
9,0.45,0.0,0.13227271997801654,0.23123065088922723,0.3032662139750071,0.35422462743771804,0.3892178827451228,0.4125229430894355,0.4275640949315539,0.43696589570827343,0.4426549040995706,0.4459861880107792,0.44787349419265127,0.44890787747030425,0.4494563098335147,0.44973762764758135,0.44987725332112843,0.4499443212969849,0.4499755071419812,0.44998954890202125,0.44999567313605343,0.44999826136409354,0.44999932163378337,0.4499997426211824,0.4499999041090488,0.4499999621851929,0.44999997646501666,0.4499999621851929,0.4499999041090488,0.4499997426211824,0.44999932163378337,0.44999826136409354,0.44999567313605343,0.44998954890202125,0.4499755071419812,0.4499443212969849,0.44987725332112843,0.44973762764758135,0.4494563098335147,0.44890787747030425,0.44787349419265127,0.4459861880107792,0.4426549040995706,0.43696589570827343,0.4275640949315539,0.4125229430894355,0.3892178827451228,0.3542246274377181,0.3032662139750071,0.23123065088922726,0.13227271997801657,0.0
